k,q,alpha,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6
5,2,10-10-10-10-60,1.5146895906482958,1.2072759683711496,1.0,1.0,1.0,1.0
5,2,20-20-20-20-20,1.0,1.0,1.0,1.0,0.853412953458504,0.7220297967602138
5,2,10-10-20-20-40,1.087179006200563,1.0,1.0,1.0,1.0,0.7074975061362231
5,2,10-10-10-10-60,1.213823163088185,1.0,1.0,1.0,1.0,0.9400207813957989
5,2,20-20-20-20-20,1.0,1.0,1.0,1.0,0.9663299640959815,0.8528443526188764
5,2,10-10-20-20-40,1.0,1.0,1.0,1.0,0.9759861469820152,0.8551868637588749
5,2,10-10-10-10-60,1.2730328199231893,1.0211686434854468,1.0,1.0,1.0,1.0
5,2,20-20-20-20-20,1.0,1.0,1.0,1.0,0.9966018523213023,0.9352246555927973
5,2,10-10-20-20-40,1.339898014287093,1.0813437993489097,1.0,1.0,1.0,1.0
5,2,10-10-10-10-60,1.339898014287093,1.0813437993489097,1.0,1.0,1.0,1.0
5,2,20-20-20-20-20,1.0,1.0,1.0,1.0,0.8343322720874711,0.7345724880041931
5,2,10-10-20-20-40,1.0,1.0,1.0,1.0,0.8188461350123138,0.737949844736712
5,2,10-10-10-10-60,1.0602741585681439,1.0,1.0,1.0,1.0,0.8619602735209542
5,2,20-20-20-20-20,1.0,1.0,1.0,1.0,0.8085830889194479,0.7207106672755913
5,2,10-10-20-20-40,1.0,1.0,1.0,1.0,0.9328082183895282,0.7149954679681391
5,2,10-10-10-10-60,1.0072700712570395,1.0,1.0,1.0,1.0,0.8714062921212734
5,2,20-20-20-20-20,1.0,1.0,1.0,1.0,0.8760525932435551,0.7430356958386796
5,2,10-10-20-20-40,1.0,1.0,1.0,1.0,0.8629676506302881,0.7504987035693523
5,2,10-10-10-10-60,1.0836274347627688,1.0,1.0,1.0,1.0,0.8668875082523813
5,4,20-20-20-20-20,1.0,1.0,0.7520325583612093,0.7507766590848071,0.7502200906993611,0.7499939231767445
5,4,10-10-20-20-40,1.3690151915340234,1.222863689004732,1.0,1.0,0.7513491868626209,0.5874322033047168
5,4,10-10-10-10-60,1.375927278125955,1.3735535042535183,1.3684552430993684,1.0,1.0,0.9578576744871485
5,4,20-20-20-20-20,1.0,1.0,0.7500204701362606,0.7500078053858471,0.7500022089028905,0.7499999303884465
5,4,10-10-20-20-40,1.3749390477709367,1.22643103928164,1.0,1.0,0.7500136184997984,0.5860469207602094
5,4,10-10-10-10-60,1.3750093901777654,1.3749853580748481,1.3749335525240054,1.0,1.0,0.9583286460818566
5,4,20-20-20-20-20,1.0,1.0,0.964829863684272,0.9244678657912089,0.9231697872534287,0.8640229281099843
